Rating,Kilometers,Owner,Fuel_Type,Transmission_Type,RTO_State,Insurance_Months,Years_Old,Insr_Type,Car_Catgor
4.5,22035,First ,Petrol,MANUAL,East_India,0,4,Insurane_Expired,Highend
3.8,95900,First ,Diesel,MANUAL,South_India,0,10,Insurane_Expired,Budget
3.9,147026,Third ,Petrol,MANUAL,North_India,1,15,Insurance_3rd_Party,Budget
4.9,17698,First ,Petrol,MANUAL,West_India,30,2,Insurance_3rd_Party,Medium
3.9,84450,Second ,Diesel,AUTOMATIC,South_India,0,8,Insurane_Expired,Highend
4.5,33378,First ,Petrol,AUTOMATIC,West_India,2,4,Insurance_Comprehensive,Luxury
3.6,106617,First ,Petrol,MANUAL,South_India,0,9,Insurane_Expired,Budget
3.8,75425,First ,Petrol,MANUAL,South_India,0,10,Insurane_Expired,low
4.0,59390,Second ,Diesel,MANUAL,North_India,0,8,Insurane_Expired,Budget
4.2,154611,First ,Diesel,MANUAL,South_India,4,9,Insurance_Comprehensive,Medium
4.1,91958,First ,Petrol,MANUAL,North_India,0,11,Insurane_Expired,Budget
4.9,27337,First ,Diesel,AUTOMATIC,South_India,0,2,Insurane_Expired,Luxury
3.8,18286,First ,Petrol,MANUAL,South_India,0,3,Insurane_Expired,Budget
4.8,69497,First ,Diesel,MANUAL,North_India,6,4,Insurance_Zero_Depreciation,Highend
3.8,92651,First ,Petrol,MANUAL,West_India,0,6,Insurane_Expired,Medium
4.2,33493,First ,Petrol,MANUAL,South_India,2,10,Insurance_Comprehensive,Medium
3.6,117107,First ,Diesel,MANUAL,North_India,0,10,Insurane_Expired,Budget
4.2,115008,Second ,Petrol,MANUAL,West_India,5,11,Insurance_3rd_Party,Budget
3.1,109679,Second ,Petrol,MANUAL,West_India,0,21,Insurane_Expired,low
3.4,75983,Third ,Diesel,MANUAL,West_India,0,9,Insurane_Expired,Budget
4.3,42494,First ,Others,MANUAL,South_India,1,12,Insurance_Comprehensive,low
3.9,167165,First ,Diesel,MANUAL,West_India,5,9,Insurance_3rd_Party,Medium
3.7,163370,Second ,Diesel,MANUAL,West_India,4,15,Insurance_3rd_Party,Budget
3.4,101234,Fourth ,Petrol,MANUAL,South_India,2,16,Insurance_3rd_Party,low
3.7,52818,Second ,Petrol,MANUAL,South_India,0,12,Insurane_Expired,low
3.7,131219,Second ,Petrol,MANUAL,South_India,0,10,Insurane_Expired,Budget
3.2,118649,Third ,Diesel,MANUAL,West_India,0,14,Insurane_Expired,Budget
4.1,94143,First ,Petrol,MANUAL,North_India,4,16,Insurance_Comprehensive,low
4.3,30103,First ,Petrol,MANUAL,West_India,3,7,Insurance_3rd_Party,Medium
3.7,33470,First ,Diesel,MANUAL,South_India,14,2,Insurance_Zero_Depreciation,Highend
3.2,99184,Third ,Petrol,MANUAL,South_India,0,25,Insurane_Expired,low
3.8,130884,First ,Diesel,MANUAL,West_India,0,6,Insurane_Expired,Highend
4.7,28318,First ,Diesel,MANUAL,West_India,6,8,Insurance_Comprehensive,Budget
4.5,30376,First ,Petrol,MANUAL,West_India,0,7,Insurane_Expired,low
4.5,52919,First ,Petrol,MANUAL,West_India,0,5,Insurane_Expired,Medium
4.2,33921,First ,Diesel,MANUAL,West_India,0,6,Insurane_Expired,Highend
4.0,154023,First ,Diesel,MANUAL,West_India,0,9,Insurane_Expired,Medium
4.0,81690,First ,Petrol,MANUAL,West_India,0,8,Insurane_Expired,Budget
3.7,14370,First ,Petrol,MANUAL,East_India,3,4,Insurance_3rd_Party,Budget
4.7,17284,Second ,Petrol,MANUAL,South_India,4,3,Insurance_Comprehensive,Medium
4.2,99658,First ,Diesel,MANUAL,North_India,0,9,Insurane_Expired,Medium
4.2,84085,Third ,Diesel,MANUAL,South_India,5,7,Insurance_3rd_Party,Highend
3.7,90920,Second ,Petrol,MANUAL,West_India,1,11,Insurance_3rd_Party,Budget
2.8,59224,Fourth ,Petrol,MANUAL,West_India,6,19,Insurance_3rd_Party,low
3.8,72213,Third ,Diesel,MANUAL,South_India,7,15,Insurance_3rd_Party,low
3.6,115532,First ,Petrol,MANUAL,North_India,0,19,Insurane_Expired,low
4.6,29120,First ,Petrol,MANUAL,West_India,6,6,Insurance_Zero_Depreciation,Medium
4.0,94164,Second ,Diesel,AUTOMATIC,West_India,0,12,Insurane_Expired,low
4.5,27104,First ,Diesel,AUTOMATIC,South_India,0,5,Insurane_Expired,Medium
3.3,135559,Second ,Others,MANUAL,West_India,6,9,Insurance_3rd_Party,Budget
3.4,86720,First ,Petrol,MANUAL,West_India,0,18,Insurane_Expired,low
4.6,114425,First ,Diesel,AUTOMATIC,South_India,0,5,Insurane_Expired,Luxury
